crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
maize,10,40,50,66361.75,1414.94,93897757.13,5635098.56,84.91
groundnuts,-10,-20,-50,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,10,-10,-30,750940.4,262.93,197441512.77,16306123.92,21.71
sorghum,10,10,20,489914.31,1414.04,692759441.37,25182123.74,51.4
cassava,50,-30,20,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,-10,30,-40,190720.27,3408.16,650004554.6,42325030.54,221.92
sorghum,-30,-30,10,1215636.94,637.78,775314411.12,35914892.04,29.54
sesame,20,50,40,91215.68,1421.92,129701130.63,7366156.46,80.76
maize,-30,10,-20,115566.46,945.38,109254546.64,7509549.49,64.98
maize,0,-30,-30,450924.04,338.96,152846245.7,14362128.26,31.85
maize,-50,20,40,18024.98,3378.88,60904172.82,1584472.31,87.9
cassava,-30,0,-20,49595.63,2296.48,113895486.26,1679242.71,33.86
sorghum,0,-30,50,1215636.94,637.78,775314411.12,35914892.04,29.54
sesame,10,10,-10,373647.58,513.04,191695191.56,19513793.89,52.23
sesame,40,10,50,357252.32,494.79,176765894.34,13933699.4,39.0
cassava,-40,-50,10,1199074.29,98.63,118262669.2,1711851.82,1.43
sorghum,50,-40,-10,1294799.22,643.3,832950271.97,56915125.68,43.96
maize,40,-30,30,450924.04,338.96,152846245.7,14362128.26,31.85
groundnuts,-40,-10,-30,661887.83,244.86,162071448.75,7890170.24,11.92
cassava,50,30,-20,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,0,-20,0,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,0,-20,-40,1101680.71,743.48,819074210.21,55066725.46,49.98
cassava,-10,50,-50,12178.51,8904.98,108449366.97,2042015.88,167.67
sorghum,40,50,-30,225377.68,2957.9,666645034.4,42440963.05,188.31
groundnuts,-50,50,50,16496.91,5554.26,91628170.83,1522191.59,92.27
groundnuts,0,30,50,183685.91,866.16,159101768.44,8625773.48,46.96
sesame,-20,30,-40,391656.8,465.87,182463008.76,15317427.14,39.11
sorghum,-20,50,-20,123383.87,4833.94,596430416.11,30513288.56,247.3
sesame,50,50,40,126910.54,1141.55,144874292.48,10192688.88,80.31
